@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {anger,disgust,fear,happiness,sadness}

@DATA
0.150405,0.006756,3.034486,0.242783,0.225934,0.911624,0.010447,0.249679,-28.807905,2.440124,0.276923,0.069305,-0.235044,0.040901,-0.088631,0.100158,-0.184453,-0.062675,-0.166592,-0.038354,-0.126867,0.020891,0.004374,0.045646,0.024483,0.024084,0.016547,0.016028,0.007073,0.004551,0.015506,0.018186,0.005853,0.020927,0.132151,0.010416,0.171904,0.119803,0.034810,0.524522,0.005101,0.211807,1.738020,0.642232,0.743451,0.345478,0.615920,0.300778,0.204218,0.265698,0.251437,0.196135,0.185714,0.198523,0.165741,0.022619,0.005268,0.038100,0.027626,0.019251,0.023358,0.012073,0.014397,0.005977,0.011911,0.012259,0.005741,0.010624,anger
0.165920,0.009863,2.940811,0.255894,0.234942,1.037407,0.009113,0.243674,-30.834283,1.576012,0.292016,0.201720,-0.190625,0.010601,-0.365788,0.061624,-0.070316,0.153762,-0.202063,-0.201899,0.004798,0.032598,0.002970,0.038588,0.015411,0.025443,0.008919,0.022404,0.000971,0.003641,0.011678,0.019015,0.006381,0.018799,0.093522,0.016191,0.299494,0.078340,0.020235,0.561524,0.003634,0.159123,2.995041,1.237269,0.620508,0.441444,0.395024,0.310248,0.334827,0.283931,0.290432,0.347803,0.279858,0.249379,0.180362,0.030924,0.004272,0.033164,0.012923,0.023847,0.009009,0.016805,0.001478,0.003653,0.009576,0.016214,0.008797,0.007464,anger
0.129897,0.010144,3.057357,0.232226,0.231077,0.923748,0.011309,0.201729,-29.798415,1.948532,0.169830,0.121647,-0.144973,0.055453,-0.259498,-0.251187,-0.348169,0.099150,-0.025226,0.149454,-0.105767,0.024492,0.001543,0.033606,0.020318,0.030006,0.020933,0.027864,0.005289,0.006631,0.016520,0.018431,0.002380,0.022700,0.073139,0.012561,0.203541,0.062087,0.010905,0.622133,0.008786,0.161010,2.388991,1.053171,0.701293,0.501528,0.351043,0.382212,0.254803,0.311082,0.285223,0.388372,0.399144,0.299085,0.266057,0.021274,0.001807,0.026650,0.029579,0.029761,0.033363,0.021684,0.012826,0.008035,0.015091,0.017956,0.002409,0.012016,anger
0.125671,0.003962,3.008974,0.232869,0.237525,0.920683,0.009043,0.201495,-29.414969,2.154706,0.272639,0.313735,-0.146921,0.106088,-0.273871,-0.071201,-0.197538,-0.053562,-0.139012,-0.066199,-0.239397,0.039964,0.005060,0.035347,0.017643,0.025441,0.015661,0.023319,0.002782,0.004064,0.016858,0.025191,0.006658,0.021738,0.104595,0.008504,0.225853,0.095537,0.038559,0.707390,0.004076,0.209053,2.158865,0.926774,0.676099,0.379498,0.347712,0.261505,0.301017,0.248317,0.268859,0.290463,0.281698,0.236653,0.215485,0.039712,0.007850,0.026641,0.014448,0.020042,0.017654,0.018775,0.004926,0.003447,0.018332,0.022516,0.008576,0.009177,anger
0.113118,0.002312,3.041986,0.216642,0.237920,0.673994,0.011303,0.160542,-29.494001,2.670272,0.606217,0.345965,-0.171806,0.154489,-0.311048,0.049893,-0.215818,-0.064151,-0.060288,-0.079052,-0.080672,0.038606,0.001842,0.039371,0.017563,0.029864,0.012726,0.026190,0.000961,0.005392,0.016967,0.037679,0.002517,0.023524,0.088214,0.004389,0.160407,0.079374,0.025760,0.542781,0.006337,0.157693,1.518004,0.683215,0.572209,0.471006,0.274385,0.272968,0.267688,0.226513,0.274636,0.275459,0.262167,0.231845,0.213692,0.037030,0.001843,0.027188,0.017294,0.023857,0.013903,0.018969,0.001243,0.005687,0.013334,0.031643,0.002561,0.009221,anger
0.087317,0.008661,3.075479,0.195470,0.228951,0.722860,0.011592,0.138153,-28.037566,2.494037,-0.013162,0.367740,-0.141701,-0.005751,-0.094466,-0.034800,-0.191643,-0.125359,-0.184243,-0.162361,-0.152289,0.031751,0.003857,0.055139,0.030252,0.020540,0.012813,0.023671,0.002233,0.004383,0.014941,0.020269,0.007906,0.024871,0.041612,0.009631,0.214363,0.044156,0.026318,0.455330,0.006242,0.096245,2.120774,0.761719,0.624718,0.465978,0.453304,0.374589,0.273881,0.240649,0.274319,0.285636,0.321308,0.220477,0.221668,0.024695,0.004318,0.037589,0.041195,0.020033,0.010079,0.019904,0.004815,0.004019,0.016819,0.017725,0.012169,0.010717,anger
0.108792,0.007716,3.000766,0.213942,0.237607,0.691731,0.011604,0.185542,-29.207145,2.663323,0.262669,0.291850,-0.194313,0.058564,-0.086675,-0.042240,-0.191151,-0.131990,-0.172379,-0.089732,-0.141802,0.038853,0.005295,0.048126,0.016976,0.028473,0.013699,0.021137,0.001724,0.005632,0.020604,0.029975,0.004030,0.023118,0.085127,0.013118,0.179768,0.086782,0.036411,0.521781,0.006686,0.194435,2.153688,0.735014,0.689371,0.411569,0.379428,0.251087,0.220359,0.259431,0.256617,0.252599,0.205291,0.243329,0.237040,0.032610,0.007667,0.031520,0.017588,0.018985,0.014819,0.014867,0.002767,0.006375,0.023695,0.025140,0.004815,0.008179,anger
0.091746,0.008977,3.074318,0.197164,0.232519,0.595531,0.011285,0.145042,-28.121228,2.849277,0.118722,0.167328,-0.110298,0.069906,-0.001374,0.002670,-0.202149,-0.003037,-0.175749,-0.129885,-0.226855,0.035063,0.005435,0.053350,0.015559,0.024954,0.008263,0.026462,0.002596,0.005005,0.013265,0.030498,0.010779,0.023063,0.061062,0.015818,0.162149,0.063141,0.030843,0.449910,0.006110,0.140332,1.602193,0.654112,0.700421,0.536523,0.324492,0.250853,0.232024,0.237915,0.264873,0.239765,0.250225,0.217076,0.266785,0.032800,0.008823,0.034449,0.015601,0.020747,0.008001,0.021184,0.003782,0.005998,0.011334,0.022712,0.015860,0.009481,anger
0.108824,0.008110,2.981971,0.215605,0.241206,0.704345,0.010493,0.169833,-29.614339,2.646619,0.005103,0.148654,-0.130993,-0.046740,-0.089551,0.189071,-0.054126,-0.084347,-0.247848,-0.050322,-0.065761,0.038156,0.007375,0.047771,0.019601,0.024467,0.010612,0.027631,0.003179,0.004739,0.015783,0.020525,0.004941,0.023443,0.083239,0.013538,0.210651,0.075972,0.028546,0.490422,0.004869,0.164221,2.326344,0.835982,0.779042,0.457036,0.343033,0.319684,0.293217,0.340118,0.303237,0.287743,0.292466,0.237854,0.192318,0.032178,0.012996,0.038002,0.022903,0.018516,0.012985,0.019949,0.006308,0.005132,0.012719,0.017968,0.006054,0.008683,anger
0.205403,0.009836,3.037020,0.310569,0.251248,1.417890,0.008935,0.380458,-29.586162,1.102069,0.069435,-0.009338,-0.214084,0.150896,-0.310650,0.041359,-0.218744,0.046903,0.054809,0.014304,-0.059507,0.017023,0.002754,0.030512,0.008714,0.015619,0.015387,0.022877,0.007227,0.005956,0.012542,0.014359,0.004657,0.016780,0.129997,0.015005,0.222079,0.109048,0.041086,0.831558,0.004877,0.270973,2.411901,1.219985,0.592877,0.677092,0.343239,0.443131,0.317152,0.356355,0.360892,0.305998,0.297824,0.276032,0.239779,0.024098,0.003013,0.028111,0.008307,0.014161,0.021513,0.024991,0.012723,0.008773,0.014845,0.012929,0.007426,0.009832,anger
